Coach,Tm,G
Jonathan Gannon,ARI,27
Arthur Smith,ATL,51
John Harbaugh,BAL,269
Sean McDermott,BUF,124
Frank Reich,CAR,85
Matt Eberflus,CHI,43
Zac Taylor,CIN,92
Kevin Stefanski,CLE,76
Mike McCarthy,DAL,280
Sean Payton,DEN,268
Dan Campbell,DET,72
Matt LaFleur,GNB,92
DeMeco Ryans,HOU,27
Shane Steichen,IND,27
Doug Pederson,JAX,124
Andy Reid,KAN,412
Sean McVay,LAR,124
Brandon Staley,LAC,48
Josh McDaniels,LVR,53
Mike McDaniel,MIA,43
Kevin O'Connell,MIN,43
Bill Belichick,NWE,467
Dennis Allen,NOR,79
Brian Daboll,NYG,44
Robert Saleh,NYJ,56
Nick Sirianni,PHI,60
Mike Tomlin,PIT,284
Pete Carroll,SEA,291
Kyle Shanahan,SFO,124
Todd Bowles,TAM,111
Mike Vrabel,TEN,99
Ron Rivera,WAS,207
